rank (for POS),lemma,POS,ipm,freq,% of concordance
93,чакыр,v,"171,8675456",22558,"0,22558"
94,тарт,v,"170,5799485",22389,"0,22389"
58,ис,n,"170,5723296",22388,"0,22388"
95,сайла,v,"170,0237675",22316,"0,22316"
27,гел,adv,"168,53808",22121,"0,77698"
59,әдәбият,n,"167,6542841",22005,"0,22005"
60,өй,n,"167,1590545",21940,"0,2194"
15,бары,prn,"165,25433",21690,"0,50169"
16,шушы,prn,"161,87153",21246,"0,49142"
61,сум,n,"161,1020149",21145,"0,21145"
28,татарча,adv,"160,54583",21072,"0,74014"
62,совет,n,"160,0048907",21001,"0,21001"
63,су,n,"159,4639476",20930,"0,2093"
64,үзәк,n,"159,3268071",20912,"0,20912"
29,һаман,adv,"157,7954",20711,"0,72746"
96,бетер,v,"157,292556",20645,"0,20645"
65,мәсьәлә,n,"157,0868453",20618,"0,20618"
20,фикеренчә,cnjcoo,"156,19543",20501,"0,56256"
97,урнаш,v,"155,9516265",20469,"0,20469"
98,хәбәр ит,v,"155,5935374",20422,"0,20422"
66,нәтиҗә,n,"155,5706806",20419,"0,20419"
99,җиткер,v,"154,9230726",20334,"0,20334"
100,үтә,v,"154,9154537",20333,"0,20333"
101,эзлә,v,"154,7097429",20306,"0,20306"
67,бәйрәм,n,"154,1687998",20235,"0,20235"
68,тарих,n,"153,589762",20159,"0,20159"
102,тәрбиялә,v,"153,3535756",20128,"0,20128"
69,хуҗалык,n,"153,0107243",20083,"0,20083"
103,куллан,v,"152,2259758",19980,"0,1998"
21,әйтүенчә,cnjcoo,"152,12693",19967,"0,54791"
70,газета,n,"151,928838",19941,"0,19941"
30,һәрвакыт,adv,"151,72313",19914,"0,69946"
71,сан,n,"151,6240813",19901,"0,19901"
6,әйтик,ij,"151,44885",19878,"4,76428"
104,файдалан,v,"150,8317138",19797,"0,19797"
72,бүлек,n,"150,816476",19795,"0,19795"
7,дөрес,ij,"150,80886",19794,"4,74415"
73,өлкә,n,"150,3288652",19731,"0,19731"
74,ярдәм,n,"149,8031599",19662,"0,19662"
105,ишет,v,"149,4984032",19622,"0,19622"
75,ай,n,"149,2774546",19593,"0,19593"
76,урыс,n,"148,7136547",19519,"0,19519"
77,эч,n,"146,3060767",19203,"0,19203"
8,юк,ij,"146,24513",19195,"4,60058"
31,тулысынча,adv,"146,07751",19173,"0,67343"
106,аңлат,v,"145,2470471",19064,"0,19064"
22,сүзләренчә,cnjcoo,"144,72896",18996,"0,52127"
107,тудыр,v,"144,7213418",18995,"0,18995"
108,үл,v,"143,7461204",18867,"0,18867"
109,сөйләш,v,"142,5423314",18709,"0,18709"
32,кайда,adv,"142,43567",18695,"0,65665"
110,оныт,v,"142,4204287",18693,"0,18693"
78,фикер,n,"140,3633209",18423,"0,18423"
23,яисә,cnjcoo,"139,19001",18269,"0,50132"
79,әни,n,"139,1671508",18266,"0,18266"
33,алга таба,adv,"138,71002",18206,"0,63947"
9,әйе,ij,"138,67192",18201,"4,36234"
34,кич,adv,"138,27574",18149,"0,63747"
10,ай,ij,"137,95574",18107,"4,33981"
111,тәэмин ит,v,"136,9881403",17980,"0,1798"
112,әйлән,v,"136,7062404",17943,"0,17943"
80,өст,n,"136,5005296",17916,"0,17916"
113,яула,v,"135,7157811",17813,"0,17813"
81,фән,n,"134,9310326",17710,"0,1771"
35,кайчан,adv,"134,61104",17668,"0,62057"
114,ышан,v,"134,2605678",17622,"0,17622"
82,рәвеш,n,"133,8262895",17565,"0,17565"
115,шөгыльлән,v,"133,2777274",17493,"0,17493"
36,алдан,adv,"133,14059",17475,"0,61379"
83,чор,n,"133,0720166",17466,"0,17466"
116,бүләклә,v,"132,2491735",17358,"0,17358"
117,төшер,v,"131,8758466",17309,"0,17309"
84,апа,n,"130,8320548",17172,"0,17172"
118,ташла,v,"129,6054091",17011,"0,17011"
119,яра,v,"128,9806578",16929,"0,16929"
85,гомер,n,"128,8968497",16918,"0,16918"
86,хатын,n,"128,6225687",16882,"0,16882"
87,башлык,n,"128,2873363",16838,"0,16838"
88,көч,n,"128,0054364",16801,"0,16801"
89,җыр,n,"127,853058",16781,"0,16781"
120,күч,v,"127,6321094",16752,"0,16752"
121,тел,v,"127,2283068",16699,"0,16699"
90,дин,n,"126,3978447",16590,"0,1659"
122,тыңла,v,"126,0168989",16540,"0,1654"
91,сугыш,n,"125,635953",16490,"0,1649"
17,теге,prn,"124,98834",16405,"0,37945"
92,оешма,n,"124,3788315",16325,"0,16325"
123,җитештер,v,"123,7921749",16248,"0,16248"
124,эч,v,"123,5102749",16211,"0,16211"
125,хәл ит,v,"123,2359939",16175,"0,16175"
126,ачыкла,v,"122,6340994",16096,"0,16096"
93,дәрәҗә,n,"122,6264805",16095,"0,16095"
94,мәдәният,n,"122,0322049",16017,"0,16017"
37,һич,adv,"121,43793",15939,"0,55984"
127,тул,v,"120,5922294",15828,"0,15828"
95,өлеш,n,"120,1046187",15764,"0,15764"
11,ә,ij,"119,83034",15728,"3,76962"
128,бүл,v,"119,7236728",15714,"0,15714"
38,кая,adv,"119,71605",15713,"0,5519"
96,хезмәткәр,n,"119,4874864",15683,"0,15683"
97,президент,n,"118,9617811",15614,"0,15614"
129,ат,v,"118,3827433",15538,"0,15538"
98,чак,n,"118,0475109",15494,"0,15494"
18,беркем,prn,"118,00942",15489,"0,35826"
99,тараф,n,"118,0017974",15488,"0,15488"
39,кабат,adv,"117,93323",15479,"0,54369"
40,ни өчен,adv,"117,45324",15416,"0,54147"
130,йөрт,v,"117,0951462",15369,"0,15369"
100,мәгариф,n,"116,6075355",15305,"0,15305"
131,үстер,v,"116,4475382",15284,"0,15284"
101,милләт,n,"115,5942194",15172,"0,15172"
102,язучы,n,"115,5637438",15168,"0,15168"
103,арт,n,"115,5256492",15163,"0,15163"
132,өйрәт,v,"114,245671",14995,"0,14995"
104,сорау,n,"113,5752062",14907,"0,14907"
133,якла,v,"112,1657065",14722,"0,14722"
105,машина,n,"112,0895173",14712,"0,14712"
106,хак,n,"112,0133281",14702,"0,14702"
107,мәгълүмат,n,"111,655239",14655,"0,14655"
41,соңыннан,adv,"111,45715",14629,"0,51383"
134,күзәт,v,"111,4190525",14624,"0,14624"
108,әти,n,"110,0476473",14444,"0,14444"
135,аер,v,"109,057188",14314,"0,14314"
136,арттыр,v,"108,9276664",14297,"0,14297"
109,урам,n,"108,782907",14278,"0,14278"
110,калган,n,"108,318153",14217,"0,14217"
137,сына,v,"108,2952963",14214,"0,14214"
138,кичер,v,"107,9829206",14173,"0,14173"
111,программа,n,"107,5562613",14117,"0,14117"
112,чыгыш,n,"107,304837",14084,"0,14084"
113,абый,n,"106,7334181",14009,"0,14009"
114,максат,n,"106,1696182",13935,"0,13935"
115,мөмкинлек,n,"106,1086669",13927,"0,13927"
116,мөселман,n,"105,819148",13889,"0,13889"
117,спорт,n,"104,897259",13768,"0,13768"
118,очрак,n,"103,9448943",13643,"0,13643"
139,сатып ал,v,"103,6096619",13599,"0,13599"
140,тәшкил ит,v,"103,1449079",13538,"0,13538"
141,котла,v,"101,9715946",13384,"0,13384"
142,җавап бир,v,"101,3620812",13304,"0,13304"
119,хат,n,"100,8744704",13240,"0,1324"
120,театр,n,"100,8668515",13239,"0,13239"
143,сиз,v,"100,8592326",13238,"0,13238"
144,тупла,v,"100,7373299",13222,"0,13222"
145,исәплә,v,"100,4020975",13178,"0,13178"
146,бәялә,v,"100,1582922",13146,"0,13146"
147,теркә,v,"100,0363895",13130,"0,1313"
121,сыйныф,n,"99,73925168",13091,"0,13091"
148,очраш,v,"99,56401658",13068,"0,13068"
122,нигез,n,"99,50306524",13060,"0,1306"
123,идарә,n,"99,22116528",13023,"0,13023"
149,ур,v,"99,20592744",13021,"0,13021"
150,юлла,v,"98,7564113",12962,"0,12962"
124,Русия,n,"98,70307888",12955,"0,12955"
42,барыбер,adv,"98,20785",12890,"0,45275"
125,сәгать,n,"98,14689788",12882,"0,12882"
126,Аллаһ,n,"98,03261412",12867,"0,12867"
151,аралаш,v,"97,8954736",12849,"0,12849"
152,өлгер,v,"97,81928442",12839,"0,12839"
127,сәбәп,n,"96,9507278",12725,"0,12725"
153,булдыр,v,"96,72216027",12695,"0,12695"
154,җиң,v,"96,38692789",12651,"0,12651"
155,хезмәт ит,v,"96,3031198",12640,"0,1264"
128,гамәл,n,"96,10502794",12614,"0,12614"
129,закон,n,"96,09740902",12613,"0,12613"
43,ник,adv,"96,03646",12605,"0,44274"
130,Мәскәү,n,"95,03837946",12474,"0,12474"
131,университет,n,"94,86314435",12451,"0,12451"
132,тавыш,n,"94,11649042",12353,"0,12353"
156,ак,v,"93,9793499",12335,"0,12335"
12,мөгаен,ij,"93,72031",12301,"2,94825"
133,ут,n,"93,60602293",12286,"0,12286"
134,дус,n,"93,52983375",12276,"0,12276"
135,директор,n,"92,98127168",12204,"0,12204"
136,кунак,n,"92,21176099",12103,"0,12103"
137,төп,n,"92,08985831",12087,"0,12087"
138,барлык,n,"91,99081238",12074,"0,12074"
157,өстә,v,"91,17558818",11967,"0,11967"
44,тиздән,adv,"91,16035",11965,"0,42026"
139,министрлык,n,"91,02320983",11947,"0,11947"
140,тур,n,"90,94702065",11937,"0,11937"
141,аст,n,"90,78702338",11916,"0,11916"
158,күчер,v,"90,34512615",11858,"0,11858"
142,ия,n,"90,28417481",11850,"0,1185"
45,янә,adv,"90,15465",11833,"0,41562"
143,төркем,n,"90,13179646",11830,"0,1183"
46,бер дә,adv,"90,07846",11823,"0,41527"
47,бу юлы,adv,"89,99466",11812,"0,41489"
24,ки,cnjcoo,"89,90323",11800,"0,3238"
144,мәчет,n,"89,804183",11787,"0,11787"
159,кор,v,"89,57561546",11757,"0,11757"
145,җан,n,"89,01181555",11683,"0,11683"
146,комитет,n,"88,99657772",11681,"0,11681"
48,шуннан соң,adv,"88,97372",11678,"0,41018"
147,проблема,n,"88,76801019",11651,"0,11651"
148,йөрәк,n,"88,63848859",11634,"0,11634"
160,бәйлә,v,"88,50134807",11616,"0,11616"
149,студент,n,"88,39468322",11602,"0,11602"
150,сәнгать,n,"88,05183192",11557,"0,11557"
