rank (for POS),lemma,POS,ipm,freq,% of concordance
222,матбугат,n,"67,24456767",8826,"0,08826"
223,урман,n,"66,96266771",8789,"0,08789"
198,ку,v,"66,84838395",8774,"0,08774"
199,ял ит,v,"66,76457585",8763,"0,08763"
200,кабатла,v,"66,66552992",8750,"0,0875"
201,алда,v,"66,58934075",8740,"0,0874"
202,как,v,"66,53600832",8733,"0,08733"
224,буй,n,"66,44458131",8721,"0,08721"
203,үзгәрт,v,"66,44458131",8721,"0,08721"
225,язма,n,"66,08649218",8674,"0,08674"
226,ветеран,n,"65,6674517",8619,"0,08619"
204,аш,v,"65,55316794",8604,"0,08604"
61,күпләп,adv,"65,49222",8596,"0,30193"
205,тутыр,v,"65,43126526",8588,"0,08588"
227,ишек,n,"65,25603015",8565,"0,08565"
228,система,n,"65,14174638",8550,"0,0855"
229,сәламәтлек,n,"64,73794374",8497,"0,08497"
206,алып кил,v,"64,65413565",8486,"0,08486"
230,җирлек,n,"64,49413838",8465,"0,08465"
207,тара,v,"64,44080595",8458,"0,08458"
208,йөгер,v,"64,38747353",8451,"0,08451"
231,мөнәсәбәт,n,"64,31128435",8441,"0,08441"
209,булып чык,v,"64,31128435",8441,"0,08441"
232,ярыш,n,"64,04462223",8406,"0,08406"
233,үстерү,n,"63,78557903",8372,"0,08372"
234,хакимият,n,"63,75510336",8368,"0,08368"
235,шәхес,n,"63,59510609",8347,"0,08347"
210,бүләк ит,v,"63,5570115",8342,"0,08342"
236,авыру,n,"63,45034665",8328,"0,08328"
24,бер-бер,prn,"63,45035",8328,"0,19263"
211,кызыксын,v,"63,2979683",8308,"0,08308"
62,гаять,adv,"63,24464",8301,"0,29157"
63,һичшиксез,adv,"63,00845",8270,"0,29048"
212,көл,v,"62,98559267",8267,"0,08267"
213,планлаштыр,v,"62,96273592",8264,"0,08264"
237,җиңү,n,"62,72654947",8233,"0,08233"
238,сәхнә,n,"62,52083869",8206,"0,08206"
64,иртән,adv,"62,51322",8205,"0,28819"
214,баз,v,"62,40655493",8191,"0,08191"
215,ассызыкла,v,"62,16274956",8159,"0,08159"
216,әверел,v,"62,07132255",8147,"0,08147"
239,караш,n,"61,92656311",8128,"0,08128"
217,тарат,v,"61,65228207",8092,"0,08092"
240,бабай,n,"61,58371181",8083,"0,08083"
241,табигать,n,"61,51514156",8074,"0,08074"
242,мәкалә,n,"61,51514156",8074,"0,08074"
218,оч,v,"61,4922848",8071,"0,08071"
219,яңгыра,v,"61,42371454",8062,"0,08062"
65,никадәр,adv,"61,35514",8053,"0,28285"
243,Рөстәм,n,"61,26371727",8041,"0,08041"
220,тотын,v,"61,04276866",8012,"0,08012"
244,урта,n,"61,02753082",8010,"0,0801"
221,көрәш,v,"60,74563087",7973,"0,07973"
245,чират,n,"60,72277411",7970,"0,0797"
246,яшәү,n,"60,69991736",7967,"0,07967"
222,ныгыт,v,"60,64658494",7960,"0,0796"
247,предприятие,n,"60,61610927",7956,"0,07956"
248,май,n,"60,42563632",7931,"0,07931"
249,уку йорты,n,"60,25802013",7909,"0,07909"
250,ахыр,n,"60,2427823",7907,"0,07907"
223,ашык,v,"59,86183641",7857,"0,07857"
224,сук,v,"59,73231481",7840,"0,0784"
251,кат,n,"59,72469589",7839,"0,07839"
225,туктал,v,"59,32089326",7786,"0,07786"
252,фатир,n,"59,19137165",7769,"0,07769"
253,алып,n,"59,04661222",7750,"0,0775"
226,игълан ит,v,"58,81804469",7720,"0,0772"
254,атна,n,"58,63519066",7696,"0,07696"
255,агач,n,"58,33805287",7657,"0,07657"
256,мәдрәсә,n,"58,10186642",7626,"0,07626"
257,тирә,n,"58,00282049",7613,"0,07613"
227,омтыл,v,"57,99520158",7612,"0,07612"
258,ватан,n,"57,7894908",7585,"0,07585"
228,кач,v,"57,33997465",7526,"0,07526"
259,төн,n,"57,24854764",7514,"0,07514"
260,зат,n,"57,15712063",7502,"0,07502"
261,кичә,n,"57,11140712",7496,"0,07496"
229,кис,v,"56,85998284",7463,"0,07463"
230,киме,v,"56,2428505",7382,"0,07382"
262,хөкүмәт,n,"56,20475591",7377,"0,07377"
263,концерт,n,"55,79333436",7323,"0,07323"
264,утырыш,n,"55,75523977",7318,"0,07318"
231,күм,v,"55,53429116",7289,"0,07289"
265,катнашучы,n,"55,03906151",7224,"0,07224"
232,кычкыр,v,"55,03144259",7223,"0,07223"
233,үзләштер,v,"54,97049125",7215,"0,07215"
266,ачу,n,"54,95525341",7213,"0,07213"
234,югал,v,"54,95525341",7213,"0,07213"
235,үтер,v,"54,93239666",7210,"0,0721"
15,бугай,ij,"54,72669",7183,"1,72159"
236,йокла,v,"54,71144804",7181,"0,07181"
267,бакча,n,"54,66573454",7175,"0,07175"
268,берлек,n,"54,18574272",7112,"0,07112"
269,төр,n,"54,08669679",7099,"0,07099"
237,булыш,v,"53,93431844",7079,"0,07079"
270,сайлау,n,"53,91146168",7076,"0,07076"
238,алыштыр,v,"53,91146168",7076,"0,07076"
271,кыр,n,"53,75908333",7056,"0,07056"
239,тый,v,"53,75908333",7056,"0,07056"
16,әй,ij,"53,73623",7053,"1,69043"
240,оша,v,"53,56099147",7030,"0,0703"
66,менә,adv,"53,4848",7020,"0,24657"
272,Идел,n,"53,0581429",6964,"0,06964"
241,очра,v,"53,04290507",6962,"0,06962"
273,әти-әни,n,"52,76862403",6926,"0,06926"
242,килеш,v,"52,75338619",6924,"0,06924"
274,бүлмә,n,"52,58577",6902,"0,06902"
243,уят,v,"52,48672407",6889,"0,06889"
275,алтын,n,"52,39529706",6877,"0,06877"
276,буын,n,"52,22768087",6855,"0,06855"
244,яр,v,"51,938162",6817,"0,06817"
25,һәммәсе,prn,"51,76293",6794,"0,15714"
245,сөен,v,"51,70959447",6787,"0,06787"
277,план,n,"51,6791188",6783,"0,06783"
246,искәрт,v,"51,52674044",6763,"0,06763"
278,әйбер,n,"51,08484322",6705,"0,06705"
279,апрель,n,"51,0772243",6704,"0,06704"
247,шартла,v,"51,0772243",6704,"0,06704"
280,әгъза,n,"51,00103512",6694,"0,06694"
248,елмай,v,"50,97817837",6691,"0,06691"
281,документ,n,"50,70389733",6655,"0,06655"
249,шалтырат,v,"50,59723248",6641,"0,06641"
282,оста,n,"50,43723521",6620,"0,0662"
250,сурәтлә,v,"50,42199738",6618,"0,06618"
251,кисәт,v,"50,28485686",6600,"0,066"
283,бит,n,"50,2620001",6597,"0,06597"
252,курк,v,"50,07914608",6573,"0,06573"
284,табиб,n,"49,96486231",6558,"0,06558"
285,хуҗа,n,"49,86581638",6545,"0,06545"
253,чистарт,v,"49,85057855",6543,"0,06543"
254,соклан,v,"49,82772179",6540,"0,0654"
286,депутат,n,"49,79724612",6536,"0,06536"
287,Коръән,n,"49,78200829",6534,"0,06534"
288,кыш,n,"49,69820019",6523,"0,06523"
289,тыш,n,"49,58391643",6508,"0,06508"
290,телефон,n,"49,42391916",6487,"0,06487"
255,сагын,v,"49,4010624",6484,"0,06484"
67,каян,adv,"49,30964",6472,"0,22732"
256,кайгырт,v,"49,29439756",6470,"0,0647"
291,Чаллы,n,"49,27915972",6468,"0,06468"
26,һәркайсы,prn,"49,16488",6453,"0,14926"
292,фестиваль,n,"49,03535435",6436,"0,06436"
293,орган,n,"48,94392734",6424,"0,06424"
294,журналист,n,"48,89821383",6418,"0,06418"
295,тәҗрибә,n,"48,76869223",6401,"0,06401"
296,төзү,n,"48,70774089",6393,"0,06393"
257,җитәклә,v,"48,63917063",6384,"0,06384"
297,материал,n,"48,55536254",6373,"0,06373"
298,патша,n,"48,5401247",6371,"0,06371"
299,язу,n,"48,47917336",6363,"0,06363"
300,форма,n,"48,16679773",6322,"0,06322"
301,музей,n,"48,15917882",6321,"0,06321"
302,чәчәк,n,"48,1515599",6320,"0,0632"
303,күренеш,n,"48,13632206",6318,"0,06318"
258,чап,v,"48,02965722",6304,"0,06304"
304,суд,n,"47,79347077",6273,"0,06273"
259,һәлак бул,v,"47,73251943",6265,"0,06265"
305,үзгәреш,n,"47,58014107",6245,"0,06245"
306,ярты,n,"47,5496654",6241,"0,06241"
260,төгәллә,v,"47,37443029",6218,"0,06218"
307,кан,n,"47,31347895",6210,"0,0621"
261,уртаклаш,v,"47,29824112",6208,"0,06208"
262,кама,v,"47,25252761",6202,"0,06202"
263,бор,v,"47,0772925",6179,"0,06179"
264,нигезлә,v,"46,80301147",6143,"0,06143"
308,үрнәк,n,"46,76491688",6138,"0,06138"
309,март,n,"46,71920337",6132,"0,06132"
310,компания,n,"46,71158445",6131,"0,06131"
265,берләштер,v,"46,64301419",6122,"0,06122"
311,төс,n,"46,63539528",6121,"0,06121"
312,рух,n,"46,3458764",6083,"0,06083"
313,ял,n,"46,33063857",6081,"0,06081"
266,килеп җит,v,"46,32301965",6080,"0,0608"
314,кием,n,"46,29254398",6076,"0,06076"
267,фикерлә,v,"46,12492779",6054,"0,06054"
68,акчалата,adv,"46,08683",6049,"0,21247"
315,пенсия,n,"46,05635753",6045,"0,06045"
316,комиссия,n,"46,0411197",6043,"0,06043"
268,ашыр,v,"45,89636026",6024,"0,06024"
317,уй,n,"45,88112242",6022,"0,06022"
318,декабрь,n,"45,86588459",6020,"0,0602"
269,өйлән,v,"45,85064675",6018,"0,06018"
270,дәвала,v,"45,77445758",6008,"0,06008"
271,туктат,v,"45,73636299",6003,"0,06003"
319,ата-ана,n,"45,62969814",5989,"0,05989"
320,моң,n,"45,60684139",5986,"0,05986"
272,кич,v,"45,54589004",5978,"0,05978"
321,дәвам,n,"45,53065221",5976,"0,05976"
322,тау,n,"45,4392252",5964,"0,05964"
323,артист,n,"45,3554171",5953,"0,05953"
324,һөнәр,n,"45,33256035",5950,"0,0595"
325,җәй,n,"45,27160901",5942,"0,05942"
326,сер,n,"45,23351442",5937,"0,05937"
273,яктырт,v,"45,18780091",5931,"0,05931"
274,пешер,v,"45,18780091",5931,"0,05931"
327,яз,n,"45,18018199",5930,"0,0593"
328,җил,n,"45,08875498",5918,"0,05918"
329,герой,n,"45,03542256",5911,"0,05911"
330,истәлек,n,"44,98209013",5904,"0,05904"
275,искә төшер,v,"44,95923338",5901,"0,05901"
276,гаеплә,v,"44,89828204",5893,"0,05893"
331,зал,n,"44,82209286",5883,"0,05883"
277,ремонтла,v,"44,82209286",5883,"0,05883"
332,авыз,n,"44,78399827",5878,"0,05878"
333,Азнакай,n,"44,73066585",5871,"0,05871"
334,чыгу,n,"44,71542801",5869,"0,05869"
335,хикәя,n,"44,66971451",5863,"0,05863"
336,октябрь,n,"44,58590641",5852,"0,05852"
278,ки,v,"44,57066858",5850,"0,0585"
337,арка,n,"44,2354362",5806,"0,05806"
338,мисал,n,"44,18210377",5799,"0,05799"
339,җиңүче,n,"44,07543893",5785,"0,05785"
279,алып кит,v,"44,0221065",5778,"0,05778"
340,сөт,n,"44,00686867",5776,"0,05776"
341,интернет,n,"43,96877408",5771,"0,05771"
280,юнәлт,v,"43,91544166",5764,"0,05764"
281,оеш,v,"43,83163356",5753,"0,05753"
342,туй,n,"43,78592005",5747,"0,05747"
282,капла,v,"43,7630633",5744,"0,05744"
283,идарә ит,v,"43,72496871",5739,"0,05739"
343,образ,n,"43,67925521",5733,"0,05733"
344,роль,n,"43,66401737",5731,"0,05731"
345,сентябрь,n,"43,57259036",5719,"0,05719"
29,белдерүенчә,cnjcoo,"43,38974",5695,"0,15628"
346,җинаять,n,"43,2906904",5682,"0,05682"
347,барыш,n,"43,26783365",5679,"0,05679"
348,фонд,n,"43,16878772",5666,"0,05666"
349,һава,n,"43,1611688",5665,"0,05665"
284,ташы,v,"43,14593097",5663,"0,05663"
350,номер,n,"42,94783911",5637,"0,05637"
351,гадәт,n,"42,80307967",5618,"0,05618"
285,вафат бул,v,"42,76498508",5613,"0,05613"
352,шатлык,n,"42,75736616",5612,"0,05612"
286,чәч,v,"42,65070132",5598,"0,05598"
353,иптәш,n,"42,20880409",5540,"0,0554"
354,бюджет,n,"42,10213924",5526,"0,05526"
287,ю,v,"42,06404465",5521,"0,05521"
355,август,n,"42,04880682",5519,"0,05519"
288,яу,v,"42,01833115",5515,"0,05515"
356,җәмәгать,n,"42,01071223",5514,"0,05514"
289,коткар,v,"41,97261764",5509,"0,05509"
27,бөтенесе,prn,"41,90405",5500,"0,12721"
357,кагыйдә,n,"41,82023929",5489,"0,05489"
358,күк,n,"41,70595552",5474,"0,05474"
359,конференция,n,"41,48500691",5445,"0,05445"
290,таян,v,"41,25643938",5415,"0,05415"
360,сәүдә,n,"41,21834479",5410,"0,0541"
361,тантана,n,"41,18786912",5406,"0,05406"
362,кыса,n,"41,11167994",5396,"0,05396"
363,медицина,n,"41,0964421",5394,"0,05394"
364,пәйгамбәр,n,"41,03549076",5386,"0,05386"
365,федерация,n,"41,00501509",5382,"0,05382"
366,өстәл,n,"40,98215834",5379,"0,05379"
291,уң,v,"40,91358808",5370,"0,0537"
292,игътибар ит,v,"40,86025566",5363,"0,05363"
367,партия,n,"40,82216107",5358,"0,05358"
368,музыка,n,"40,79930431",5355,"0,05355"
69,бервакыт,adv,"40,74597",5348,"0,18784"
293,яхшырт,v,"40,68502055",5340,"0,0534"
294,хупла,v,"40,60883137",5330,"0,0533"
369,нефть,n,"40,60121245",5329,"0,05329"
295,урла,v,"40,57073678",5325,"0,05325"
296,йөз,v,"40,56311786",5324,"0,05324"
370,мал,n,"40,4488341",5309,"0,05309"
70,шәхсән,adv,"40,37264",5299,"0,18612"
371,киңәш,n,"40,35740709",5297,"0,05297"
372,февраль,n,"40,34216925",5295,"0,05295"
297,горурлан,v,"40,3193125",5292,"0,05292"
298,бизә,v,"40,14407739",5269,"0,05269"
299,шатлан,v,"40,0602693",5258,"0,05258"
373,июнь,n,"39,99169904",5249,"0,05249"
374,Алабуга,n,"39,98408012",5248,"0,05248"
17,кызганыч,ij,"39,97646",5247,"1,25758"
71,русча,adv,"39,96122",5245,"0,18423"
375,кала,n,"39,93836661",5242,"0,05242"
376,Алла,n,"39,69456125",5210,"0,0521"
377,тәрбия,n,"39,57265856",5194,"0,05194"
378,килү,n,"39,49646939",5184,"0,05184"
379,өмет,n,"39,3745667",5168,"0,05168"
380,чит ил,n,"39,34409103",5164,"0,05164"
300,түз,v,"39,3288532",5162,"0,05162"
381,сайт,n,"39,29837753",5158,"0,05158"
382,мәртәбә,n,"39,23742618",5150,"0,0515"
301,җимер,v,"39,19171268",5144,"0,05144"
30,фәкать,cnjcoo,"39,15362",5139,"0,14102"
383,тәэсир,n,"39,10028567",5132,"0,05132"
31,шунлыктан,cnjcoo,"39,06981",5128,"0,14072"
384,хөкем,n,"39,03933432",5124,"0,05124"
32,хәбәр итүенчә,cnjcoo,"38,94791",5112,"0,14028"
72,мәңге,adv,"38,92505",5109,"0,17945"
302,ниятлә,v,"38,78029112",5090,"0,0509"
385,Бөгелмә,n,"38,66600736",5075,"0,05075"
386,хәтер,n,"38,65076952",5073,"0,05073"
387,элемтә,n,"38,65076952",5073,"0,05073"
388,армия,n,"38,56696143",5062,"0,05062"
303,хәтерлә,v,"38,46029658",5048,"0,05048"
389,әфәнде,n,"38,45267766",5047,"0,05047"
390,тамашачы,n,"38,44505874",5046,"0,05046"
391,билге,n,"38,37648848",5037,"0,05037"
392,җәмгыять,n,"38,36886957",5036,"0,05036"
393,технология,n,"38,36886957",5036,"0,05036"
304,кыс,v,"38,33077498",5031,"0,05031"
394,минут,n,"38,26220472",5022,"0,05022"
395,Миңнеханов,n,"38,2545858",5021,"0,05021"
305,илт,v,"38,17839662",5011,"0,05011"
306,эш ит,v,"38,1250642",5004,"0,05004"
396,кибет,n,"38,07935069",4998,"0,04998"
307,таты,v,"38,07173177",4997,"0,04997"
397,дан,n,"38,01078043",4989,"0,04989"
398,янгын,n,"38,01078043",4989,"0,04989"
399,колхоз,n,"37,94221017",4980,"0,0498"
400,транспорт,n,"37,82030749",4964,"0,04964"
308,котыл,v,"37,71364264",4950,"0,0495"
309,кимет,v,"37,69840481",4948,"0,04948"
401,тапшыру,n,"37,62221563",4938,"0,04938"
402,балалар бакчасы,n,"37,60697779",4936,"0,04936"
403,мулла,n,"37,59173996",4934,"0,04934"
404,байлык,n,"37,54602645",4928,"0,04928"
310,сөр,v,"37,50031295",4922,"0,04922"
311,яшер,v,"37,49269403",4921,"0,04921"
312,тәрҗемә ит,v,"37,43174269",4913,"0,04913"
313,аңлашыл,v,"37,42412377",4912,"0,04912"
405,Кеше,n,"37,34031568",4901,"0,04901"
406,башкала,n,"37,27936433",4893,"0,04893"
314,яңарт,v,"37,25650758",4890,"0,0489"
407,граждан,n,"37,23365083",4887,"0,04887"
18,янәсе,ij,"37,22603",4886,"1,17106"
408,Арча,n,"37,10412923",4870,"0,0487"
409,кәгазь,n,"37,08889139",4868,"0,04868"
410,гыйнвар,n,"37,07365356",4866,"0,04866"
411,рәсем,n,"37,03555897",4861,"0,04861"
315,түк,v,"36,99746438",4856,"0,04856"
412,учреждение,n,"36,91365628",4845,"0,04845"
413,таң,n,"36,83746711",4835,"0,04835"
414,торак,n,"36,73080226",4821,"0,04821"
316,курык,v,"36,71556442",4819,"0,04819"
317,бәр,v,"36,66985092",4813,"0,04813"
318,сау,v,"36,65461308",4811,"0,04811"
319,ис,v,"36,63937525",4809,"0,04809"
415,курс,n,"36,55556715",4798,"0,04798"
416,завод,n,"36,45652122",4785,"0,04785"
417,академия,n,"36,38033204",4775,"0,04775"
418,клуб,n,"36,34985637",4771,"0,04771"
419,яклау,n,"36,28890503",4763,"0,04763"
320,җәй,v,"36,16700235",4747,"0,04747"
420,намаз,n,"36,1441456",4744,"0,04744"
321,сикер,v,"36,0603375",4733,"0,04733"
421,вазифа,n,"35,97652941",4722,"0,04722"
322,чак,v,"35,85462672",4706,"0,04706"
323,көйлә,v,"35,8470078",4705,"0,04705"
422,Фәрит,n,"35,80891322",4700,"0,047"
423,җырчы,n,"35,79367538",4698,"0,04698"
324,охша,v,"35,68701053",4684,"0,04684"
424,сарай,n,"35,64891594",4679,"0,04679"
325,төзәт,v,"35,59558352",4672,"0,04672"
425,баба,n,"35,5879646",4671,"0,04671"
426,күргәзмә,n,"35,54987001",4666,"0,04666"
427,талант,n,"35,5422511",4665,"0,04665"
326,чагылдыр,v,"35,48129976",4657,"0,04657"
327,әйдә,v,"35,48129976",4657,"0,04657"
19,ярый,ij,"35,39749",4646,"1,11353"
428,Шәймиев,n,"35,38225382",4644,"0,04644"
429,аш,n,"35,34415924",4639,"0,04639"
430,китапханә,n,"35,31368357",4635,"0,04635"
328,зарлан,v,"35,1993998",4620,"0,0462"
28,бернәрсә,prn,"35,10035",4607,"0,10656"
431,кояш,n,"35,07749712",4604,"0,04604"
432,тән,n,"35,03178361",4598,"0,04598"
433,яр,n,"34,91749984",4583,"0,04583"
329,фикер алыш,v,"34,91749984",4583,"0,04583"
330,торгыз,v,"34,91749984",4583,"0,04583"
73,электән,adv,"34,81083",4569,"0,16048"
331,уян,v,"34,78797824",4566,"0,04566"
434,көз,n,"34,70417015",4555,"0,04555"
435,ит,n,"34,63559989",4546,"0,04546"
436,коллектив,n,"34,57464855",4538,"0,04538"
437,имтихан,n,"34,55941071",4536,"0,04536"
332,яна,v,"34,52893504",4532,"0,04532"
438,июль,n,"34,50607829",4529,"0,04529"
439,кош,n,"34,49084045",4527,"0,04527"
440,әкият,n,"34,46036478",4523,"0,04523"
441,таләп,n,"34,42988911",4519,"0,04519"
442,Болгар,n,"34,36131885",4510,"0,0451"
333,акла,v,"34,34608102",4508,"0,04508"
443,файда,n,"34,32322426",4505,"0,04505"
334,билә,v,"34,28512968",4500,"0,045"
444,территория,n,"34,254654",4496,"0,04496"
445,эчтәлек,n,"34,23179725",4493,"0,04493"
335,кой,v,"34,23179725",4493,"0,04493"
20,әйдә,ij,"34,18608",4487,"1,07543"
336,тез,v,"34,00322972",4463,"0,04463"
21,имеш,ij,"33,95752",4457,"1,06824"
446,класс,n,"33,75942435",4431,"0,04431"
447,ясау,n,"33,7365676",4428,"0,04428"
448,чик,n,"33,71371085",4425,"0,04425"
449,гимназия,n,"33,68323518",4421,"0,04421"
337,җирлә,v,"33,607046",4411,"0,04411"
450,тәрәзә,n,"33,56133249",4405,"0,04405"
338,хәзерлә,v,"33,5232379",4400,"0,044"
451,басу,n,"33,41657306",4386,"0,04386"
339,эл,v,"33,41657306",4386,"0,04386"
452,карар,n,"33,3937163",4383,"0,04383"
453,Ибраһимов,n,"33,3937163",4383,"0,04383"
454,керү,n,"33,38609739",4382,"0,04382"
455,сөйләшү,n,"33,37847847",4381,"0,04381"
340,бие,v,"33,3480028",4377,"0,04377"
456,культура,n,"33,33276496",4375,"0,04375"
457,идея,n,"33,30990821",4372,"0,04372"
458,килеш,n,"33,21086228",4359,"0,04359"
459,Гали,n,"33,18800553",4356,"0,04356"
460,Аллаһы Тәгалә,n,"33,18800553",4356,"0,04356"
74,кайдан,adv,"33,18039",4355,"0,15297"
341,кызыксындыр,v,"33,05086501",4338,"0,04338"
461,җөмлә,n,"32,89848665",4318,"0,04318"
462,килешү,n,"32,88324882",4316,"0,04316"
463,объект,n,"32,86039206",4313,"0,04313"
464,исемлек,n,"32,84515423",4311,"0,04311"
75,алга,adv,"32,75373",4299,"0,151"
342,си,v,"32,69277587",4291,"0,04291"
465,редакция,n,"32,63182453",4283,"0,04283"
343,каршыла,v,"32,56325427",4274,"0,04274"
466,яңалык,n,"32,50992185",4267,"0,04267"
467,спектакль,n,"32,46420834",4261,"0,04261"
22,һәрхәлдә,ij,"32,44135",4258,"1,02054"
468,техника,n,"32,41087592",4254,"0,04254"
469,сәясәт,n,"32,38801917",4251,"0,04251"
470,бай,n,"32,38040025",4250,"0,0425"
471,күпчелек,n,"32,37278133",4249,"0,04249"
472,үзенчәлек,n,"32,3575435",4247,"0,04247"
473,хыял,n,"32,32706782",4243,"0,04243"
474,төш,n,"32,31944891",4242,"0,04242"
344,тасвирла,v,"32,18230839",4224,"0,04224"
475,йолдыз,n,"32,10611921",4214,"0,04214"
476,кар,n,"32,09850029",4213,"0,04213"
477,комплекс,n,"32,03754895",4205,"0,04205"
76,беркөнне,adv,"31,94612",4193,"0,14728"
345,дәш,v,"31,94612194",4193,"0,04193"
77,әйтмешли,adv,"31,90041",4187,"0,14706"
478,бию,n,"31,89278952",4186,"0,04186"
479,җыентык,n,"31,85469493",4181,"0,04181"
480,гарәп,n,"31,77850575",4171,"0,04171"
481,дошман,n,"31,74041116",4166,"0,04166"
78,бире,adv,"31,70232",4161,"0,14615"
482,киңәшмә,n,"31,6261274",4151,"0,04151"
483,агым,n,"31,61850848",4150,"0,0415"
484,сабый,n,"31,59565173",4147,"0,04147"
485,елга,n,"31,59565173",4147,"0,04147"
486,акыл,n,"31,55755714",4142,"0,04142"
346,аптыра,v,"31,50422471",4135,"0,04135"
347,кыз,v,"31,50422471",4135,"0,04135"
348,барла,v,"31,48898688",4133,"0,04133"
487,ризык,n,"31,42041662",4124,"0,04124"
488,кайгы,n,"31,4127977",4123,"0,04123"
489,онык,n,"31,40517878",4122,"0,04122"
490,традиция,n,"31,38232203",4119,"0,04119"
491,куллану,n,"31,22994368",4099,"0,04099"
492,хисап,n,"31,22232476",4098,"0,04098"
349,кузгал,v,"31,1537545",4089,"0,04089"
350,үр,v,"31,13089775",4086,"0,04086"
493,дога,n,"31,12327883",4085,"0,04085"
494,хезмәттәшлек,n,"31,12327883",4085,"0,04085"
495,полиция,n,"31,11565991",4084,"0,04084"
351,сип,v,"31,10804099",4083,"0,04083"
496,басма,n,"31,00137614",4069,"0,04069"
497,гектар,n,"30,98613831",4067,"0,04067"
498,әдип,n,"30,97851939",4066,"0,04066"
499,премия,n,"30,94804372",4062,"0,04062"
352,так,v,"30,90994913",4057,"0,04057"
79,һәрдаим,adv,"30,86424",4051,"0,14229"
500,мирас,n,"30,84137887",4048,"0,04048"
501,Башкортстан,n,"30,83375995",4047,"0,04047"
502,Марат,n,"30,8109032",4044,"0,04044"
503,әзерлек,n,"30,78042753",4040,"0,0404"
504,юбилей,n,"30,7651897",4038,"0,04038"
505,чишмә,n,"30,71185727",4031,"0,04031"
353,көчлә,v,"30,67376268",4026,"0,04026"
354,асра,v,"30,65852485",4024,"0,04024"
506,ноябрь,n,"30,64328701",4022,"0,04022"
507,авырлык,n,"30,62804918",4020,"0,0402"
508,карчык,n,"30,58233567",4014,"0,04014"
355,өр,v,"30,56709783",4012,"0,04012"
356,казы,v,"30,54424108",4009,"0,04009"
357,эшкәрт,v,"30,50614649",4004,"0,04004"
509,бистә,n,"30,4680519",3999,"0,03999"
510,зыян,n,"30,4223384",3993,"0,03993"
80,кайвакыт,adv,"30,4071",3991,"0,14018"
511,көй,n,"30,32329247",3980,"0,0398"
512,сабантуй,n,"30,2928168",3976,"0,03976"
513,күрше,n,"30,26996004",3973,"0,03973"
514,күрсәткеч,n,"30,25472221",3971,"0,03971"
515,ремонт,n,"30,24710329",3970,"0,0397"
516,тонна,n,"30,18615195",3962,"0,03962"
517,чәй,n,"30,17853303",3961,"0,03961"
518,тармак,n,"30,17091411",3960,"0,0396"
519,Җәлил,n,"30,15567628",3958,"0,03958"
358,кузгат,v,"30,01091684",3939,"0,03939"
520,ирек,n,"29,98806009",3936,"0,03936"
521,тәкъдим,n,"29,95758442",3932,"0,03932"
359,өметлән,v,"29,91948983",3927,"0,03927"
29,кайбер,prn,"29,8814",3922,"0,09072"
522,состав,n,"29,69854122",3898,"0,03898"
523,башкорт,n,"29,64520879",3891,"0,03891"
524,чыганак,n,"29,63758987",3890,"0,0389"
30,бер нәрсә,prn,"29,63759",3890,"0,08998"
525,премьер-министр,n,"29,62235204",3888,"0,03888"
526,колак,n,"29,61473312",3887,"0,03887"
527,метр,n,"29,45473585",3866,"0,03866"
528,канун,n,"29,40902234",3860,"0,0386"
81,кайчак,adv,"29,39378",3858,"0,13551"
360,финансла,v,"29,33283317",3850,"0,0385"
529,Минтимер,n,"29,32521425",3849,"0,03849"
530,нур,n,"29,27188182",3842,"0,03842"
361,әйләндер,v,"29,24902507",3839,"0,03839"
531,яшьлек,n,"29,19569265",3832,"0,03832"
532,акция,n,"29,19569265",3832,"0,03832"
533,аваз,n,"29,18807373",3831,"0,03831"
534,булмау,n,"29,14236022",3825,"0,03825"
362,сөендер,v,"29,0890278",3818,"0,03818"
363,иттер,v,"29,08140888",3817,"0,03817"
364,исемлә,v,"29,01283862",3808,"0,03808"
365,туй,v,"29,00521971",3807,"0,03807"
82,кичен,adv,"28,97474",3803,"0,13358"
33,шул сәбәпле,cnjcoo,"28,95189",3800,"0,10428"
366,казан,v,"28,93664945",3798,"0,03798"
535,текст,n,"28,90617378",3794,"0,03794"
367,авыр,v,"28,88331702",3791,"0,03791"
83,күптәннән,adv,"28,84522",3786,"0,13298"
536,Биектау,n,"28,8299846",3784,"0,03784"
23,ахры,ij,"28,80713",3781,"0,90621"
368,җылыт,v,"28,76903326",3776,"0,03776"
537,Бәйрәм,n,"28,53284681",3745,"0,03745"
369,кат,v,"28,52522789",3744,"0,03744"
538,участок,n,"28,49475222",3740,"0,0374"
539,мөдир,n,"28,47951438",3738,"0,03738"
540,абзый,n,"28,40332521",3728,"0,03728"
541,җаваплылык,n,"28,38808737",3726,"0,03726"
370,от,v,"28,38046845",3725,"0,03725"
542,имам,n,"28,30427928",3715,"0,03715"
543,рәт,n,"28,28904144",3713,"0,03713"
544,икътисад,n,"28,24332793",3707,"0,03707"
371,ашат,v,"28,15951984",3696,"0,03696"
545,иртә,n,"28,04523607",3681,"0,03681"
546,сәләт,n,"28,03761716",3680,"0,0368"
547,матурлык,n,"28,00714149",3676,"0,03676"
372,якынлаш,v,"27,86238205",3657,"0,03657"
548,эт,n,"27,8395253",3654,"0,03654"
