lemma_POS,ipm_corpus1,ipm_corpus2,ipm_corpus3,dominant_corpus,LLR_corpus1_vs_corpus2,LLR_corpus1_vs_corpus3,LLR_corpus2_vs_corpus3
галәйһиссәлам_ideo,35.88793103,0.0,0.0,corpus1,17.31097533658028,47.48699184619248,0.0
кыңгырау_n,35.88793103,0.0,8.726215004,corpus1,17.31097533658028,16.053107197107693,4.455121387992445
мәйдан_n,421.8793103,69.22548627,465.3173353,corpus3,17.30044240820572,5.824590558382326,31.833716030717554
бассейн_n,35.84482759,0.0,24.44148184,corpus1,17.29018387367488,1.5008030610403083,12.478464998822417
шәригать_n,35.82758621,0.0,19.47238719,corpus1,17.281867286583275,3.9183641313453563,9.941520877685573
укылыш_n,35.81896552,0.0,0.0,corpus1,17.277708993037468,47.39573652672865,0.0
сәбәпче_n,35.79310345,0.0,22.25992809,corpus1,17.265234112400055,2.375948395847807,11.364684652334848
вафат_n,35.75862069,0.0,113.9659839,corpus3,17.248600938216843,48.11564865635473,58.184710340480244
катнаш_v,1195.224138,415.0176853,1588.21153,corpus3,17.244960728774487,83.72956142253116,3.843509456759392
җайланма_n,35.71551724,0.0,25.00706985,corpus1,17.22780947048782,1.274129315271077,12.767222866808485
чат_n,35.70689655,0.0,10.78657132,corpus1,17.22365117694202,12.53399819283715,5.507025046805497
тоткын_n,35.70689655,0.0,28.68339191,corpus1,17.22365117694202,0.3834557481065861,14.644149006165202
чаклы_post,35.69827586,0.0,28.19860219,corpus1,17.219492883396217,0.46706741430005394,14.39664226363584
берникадәр_adj,35.68965517,0.0,31.10734052,corpus1,17.21533458985041,0.08942430517505384,15.881682723917448
бихисап_adv,35.68965517,0.0,28.48139619,corpus1,17.21533458985041,0.41516092519536407,14.541021195076153
арыш_n,35.68965517,0.0,10.38257989,corpus1,17.21533458985041,13.125891238553995,5.300769429732846
академик_adj,35.64655172,0.0,38.58118208,corpus3,17.19454312212139,0.3805009165972155,19.697411693368693
кытлык_n,35.60344828,0.0,33.41009171,corpus1,17.173751659215995,4.938054342106674e-06,17.057339761142803
яшәүче_n,484.0431034,82.77192195,391.9120915,corpus1,17.165419844717334,4.700845958400961,7.484067748116679
күк_adj,35.57758621,0.0,27.71381247,corpus1,17.161276778578582,0.5403995125651377,14.14913552110649
препарат_n,35.57758621,0.0,20.56316406,corpus1,17.161276778578582,3.1597598861508693,10.498411048376633
терминал_n,35.56896552,0.0,0.0,corpus1,17.157118485032775,47.064935958938214,0.0
пакет_n,35.55172414,0.0,17.169636,corpus1,17.14880189794117,5.42133141661302,8.765863840460227
төтен_n,35.5,0.0,11.43295762,corpus1,17.123852136666347,11.453942102934745,5.8370340402482705
уникаль_adj,35.49137931,0.0,48.72136711,corpus3,17.11969384312054,3.0219378767914282,24.874427751836844
автомат_n,35.47413793,0.0,12.36213792,corpus1,17.111377256028934,10.214692361430929,6.31142196513136
койрык_n,35.43965517,0.0,0.0,corpus1,17.094744081845718,46.893832210133496,0.0
өмә_n,35.39655172,0.0,7.231446693,corpus1,17.0739526141167,18.51438843098193,3.6919755946127446
боинг_n,35.36206897,0.0,0.0,corpus1,17.057319444757105,46.791169974082685,0.0
ягымлы_adj,35.35344828,0.0,5.25188866,corpus1,17.053161151211302,23.125916455944143,2.6813230576825906
гамьсез_adj,35.35344828,0.0,0.0,corpus1,17.053161151211302,46.77976305749571,0.0
күптәннән_adv,36.12068966,28.84522,38.09639236,corpus3,17.04280147993815,0.25555204500524287,13.91049217751982
фашист_n,35.32758621,0.0,16.96764029,corpus1,17.04068627057389,5.461779024435824,8.662736034476623
хезмәтчән_n,35.32758621,0.0,0.0,corpus1,17.04068627057389,46.74554230773475,0.0
клиник_adj,35.31034483,0.0,43.10588616,corpus3,17.03236968348228,1.3566879404679444,22.007474637257246
асрама_n,35.29310345,0.0,0.0,corpus1,17.02405309639067,46.69991464138683,0.0
функция_n,35.29310345,0.0,0.0,corpus1,17.02405309639067,46.69991464138683,0.0
губерна_n,35.24137931,0.0,13.61451137,corpus1,16.999103335115848,8.577090637788809,6.950814386735843
мөфти_n,156.3017241,16.72352436,144.0229467,corpus1,16.986041512948976,0.023477283564774964,16.043260604726854
бизнес_n,171.5775862,19.44347798,107.6233184,corpus1,16.974240275099735,10.966547802955226,4.155708522454727
югалтуларсыз_adv,35.15517241,0.0,0.0,corpus1,16.95752039965781,46.51740397599512,0.0
сумка_n,35.11206897,0.0,0.0,corpus1,16.936728936752413,46.460369406292244,0.0
